uf,municipio,IBGE,benzatina_1,benzatina_2,benzatina_998,ciclo,benzatina_9997,proc.pot_1,proc.pot_2,proc.pot_998,proc.pot_9997
SP,São Paulo,355030,261,2,3,Ciclo 3,4,261,2,3,4
PR,Almirante Tamandaré,410040,3,0,0,Ciclo 3,4,3,NA,NA,4
PR,Curitiba,410690,83,6,0,Ciclo 3,2,83,6,NA,2
SC,Florianópolis,420540,46,1,0,Ciclo 3,2,46,1,NA,2
SC,Palhoça,421190,20,1,0,Ciclo 3,NA,20,1,NA,NA
SC,São José,421660,17,0,0,Ciclo 3,NA,17,NA,NA,NA
RS,Alvorada,430060,1,0,14,Ciclo 3,NA,1,NA,14,NA
RS,Bento Gonçalves,430210,9,2,0,Ciclo 3,NA,9,2,NA,NA
RS,Canoas,430460,1,1,22,Ciclo 3,NA,1,1,22,NA
RS,Caxias do Sul,430510,16,2,0,Ciclo 3,NA,16,2,NA,NA
RS,Passo Fundo,431410,1,2,10,Ciclo 3,2,1,2,10,2
RS,Porto Alegre,431490,102,22,5,Ciclo 3,2,102,22,5,2
RS,Rio Grande,431560,10,7,5,Ciclo 3,NA,10,7,5,NA
RS,Santa Cruz do Sul,431680,15,0,1,Ciclo 3,NA,15,NA,1,NA
RS,Santa Maria,431690,1,1,11,Ciclo 3,NA,1,1,11,NA
RS,São Leopoldo,431870,0,1,9,Ciclo 3,NA,NA,1,9,NA
RS,Sapucaia do Sul,432000,3,1,13,Ciclo 3,NA,3,1,13,NA
RS,Viamão,432300,5,1,6,Ciclo 3,1,5,1,6,1
MS,Campo Grande,500270,30,2,1,Ciclo 3,NA,30,2,1,NA
MS,Dourados,500370,5,3,19,Ciclo 3,NA,5,3,19,NA
MT,Cuiabá,510340,20,24,1,Ciclo 3,6,20,24,1,6
GO,Goiânia,520870,3,29,29,Ciclo 3,2,3,29,29,2
GO,Luziânia,521250,1,8,10,Ciclo 3,NA,1,8,10,NA
DF,Brasília,530010,39,16,16,Ciclo 3,5,39,16,16,5
